model_id,autoencoder,embedding,pretext_loss,cluster_loss,metric,embedding_dim,n_clusters,dim_reduction,reduced_dim,run_1_train_SC,run_1_train_DBI,run_1_test_SC,run_1_test_DBI,run_1_train_time,run_2_train_SC,run_2_train_DBI,run_2_test_SC,run_2_test_DBI,run_2_train_time,run_3_train_SC,run_3_train_DBI,run_3_test_SC,run_3_test_DBI,run_3_train_time,run_4_train_SC,run_4_train_DBI,run_4_test_SC,run_4_test_DBI,run_4_train_time,run_5_train_SC,run_5_train_DBI,run_5_test_SC,run_5_test_DBI,run_5_train_time
63628dd44b68c3e97c1f7c85,fcnn,mse,mse,dtc,cid,10,6,UMAP,5.0,-1.0,-1.0,-1.0,-1.0,59.10261797904968,0.5061365365982056,0.5154311896773387,0.48419520258903503,0.48404414065999196,52.037965297698975,0.3001098036766052,0.8432234906190809,-1.0,-1.0,52.19760847091675,0.47755181789398193,0.5132320604377372,-1.0,-1.0,51.430476903915405,0.15016449987888336,1.2785001999044734,-1.0,-1.0,51.92493176460266
63628dd44b68c3e97c1f7c86,fcnn,multi_rec,multi_rec,None,None,10,2,None,None,0.6215604543685913,0.5041090749477732,0.6215604543685913,0.5041087836001523,2.6920769214630127,0.6186464428901672,0.5143330928179445,0.6186464428901672,0.5143324379199925,2.6744165420532227,-1.0,-1.0,-1.0,-1.0,2.6739864349365234,-1.0,-1.0,-1.0,-1.0,2.7021713256835938,-1.0,-1.0,-1.0,-1.0,2.6862895488739014
63628dd44b68c3e97c1f7c89,fcnn,multi_rec,multi_rec,None,None,10,4,None,None,0.5313922762870789,0.567153847469967,0.5312708020210266,0.5671247878098766,2.7069506645202637,-1.0,-1.0,-1.0,-1.0,2.6673989295959473,-1.0,-1.0,-1.0,-1.0,2.696600914001465,-1.0,-1.0,-1.0,-1.0,2.726630449295044,-1.0,-1.0,-1.0,-1.0,2.678149461746216
63628dd44b68c3e97c1f7c8c,fcnn,multi_rec,multi_rec,None,None,10,6,None,None,-1.0,-1.0,-1.0,-1.0,2.876807451248169,0.5354719758033752,0.5396656721395672,0.5350611805915833,0.539920559582103,2.8942508697509766,0.5066733956336975,0.5747402150346796,0.5062886476516724,0.5751434557840817,2.778503656387329,0.5177150368690491,0.5489692997210004,0.5179297924041748,0.5489834707913909,2.7205286026000977,0.5202032327651978,0.5433588228752592,0.5202784538269043,0.5429527365035139,2.6909892559051514
63628dd44b68c3e97c1f7c98,fcnn,multi_rec,multi_rec,dtc,eucl,10,2,None,5.0,0.9970681667327881,0.0723938366285408,-1.0,-1.0,34.20779824256897,0.6102511882781982,0.48131027049357217,0.5998398661613464,0.47867653343363953,34.22605228424072,0.5580558776855469,0.47474678072182225,0.5358262062072754,0.4670979284060017,34.19243288040161,-1.0,-1.0,-1.0,-1.0,33.964638233184814,0.9984236359596252,0.32382764761949184,-1.0,-1.0,34.68441915512085
63628dd44b68c3e97c1f7c99,fcnn,multi_rec,multi_rec,dtc,eucl,10,2,PCA,5.0,0.6298553347587585,0.5059504732518284,0.6322454214096069,0.49945188116232314,35.380311489105225,0.6230505704879761,0.4909564428553965,0.6043655872344971,0.5021957176373018,34.631505727767944,0.999319851398468,0.00020488751236322374,-1.0,-1.0,35.029913902282715,-1.0,-1.0,-1.0,-1.0,33.61777687072754,0.649215817451477,0.46523888275543107,0.6561128497123718,0.45736757742048545,34.078567028045654
63628dd44b68c3e97c1f7c9a,fcnn,multi_rec,multi_rec,dtc,eucl,10,2,UMAP,5.0,-1.0,-1.0,-1.0,-1.0,34.53347325325012,0.5651524662971497,0.5662691164728453,0.5531166195869446,0.5590692037491093,34.47950720787048,0.33102479577064514,0.599420964925473,0.3575364351272583,0.5891640817371062,33.62935662269592,-1.0,-1.0,-1.0,-1.0,34.31349754333496,-1.0,-1.0,-1.0,-1.0,33.89507722854614
63628dd54b68c3e97c1f7c9b,fcnn,multi_rec,multi_rec,dtc,eucl,10,4,None,5.0,0.5242592692375183,0.44256087197217137,-1.0,-1.0,35.60097336769104,0.46796348690986633,0.5121996955980463,0.4613649547100067,0.5093421132591798,35.31197237968445,0.9950844049453735,0.37551521141275745,-1.0,-1.0,35.25626516342163,-1.0,-1.0,-1.0,-1.0,34.64789652824402,0.5920525193214417,0.5418054855739254,0.5909072160720825,0.5194968449802692,34.87959671020508
63628dd54b68c3e97c1f7c9c,fcnn,multi_rec,multi_rec,dtc,eucl,10,4,PCA,5.0,0.6354352235794067,0.5469330797226782,0.6227970123291016,0.49189136618893015,36.62800073623657,0.43946996331214905,0.47161607456851484,0.4312026798725128,0.4763900209085269,34.801772594451904,-1.0,-1.0,-1.0,-1.0,35.7072651386261,0.6086076498031616,0.39103005262583607,-1.0,-1.0,34.983967304229736,0.5282037854194641,0.5553870610474041,0.5225414037704468,0.546382006649261,35.13472867012024
63628dd54b68c3e97c1f7c9d,fcnn,multi_rec,multi_rec,dtc,eucl,10,4,UMAP,5.0,-1.0,-1.0,-1.0,-1.0,35.69802498817444,0.42478039860725403,0.4704866612065458,-1.0,-1.0,34.88017702102661,-1.0,-1.0,-1.0,-1.0,35.557645320892334,0.6129683256149292,0.5091108295377268,0.6056126356124878,0.47941362388784475,35.33494019508362,-1.0,-1.0,-1.0,-1.0,34.635504961013794
63628dd54b68c3e97c1f7c9e,fcnn,multi_rec,multi_rec,dtc,eucl,10,6,None,5.0,-1.0,-1.0,-1.0,-1.0,35.93627095222473,-1.0,-1.0,-1.0,-1.0,35.673828125,-1.0,-1.0,-1.0,-1.0,35.24054789543152,-1.0,-1.0,-1.0,-1.0,35.9315402507782,-1.0,-1.0,-1.0,-1.0,35.58129143714905
63628dd54b68c3e97c1f7c9f,fcnn,multi_rec,multi_rec,dtc,eucl,10,6,PCA,5.0,-1.0,-1.0,-1.0,-1.0,36.78942012786865,0.5111973881721497,0.4373000442713908,0.5009464621543884,0.5007561194243272,35.178643465042114,-1.0,-1.0,-1.0,-1.0,35.92659950256348,-1.0,-1.0,-1.0,-1.0,34.865222692489624,-1.0,-1.0,-1.0,-1.0,35.60230994224548
63628dd54b68c3e97c1f7ca0,fcnn,multi_rec,multi_rec,dtc,eucl,10,6,UMAP,5.0,0.5064793229103088,0.5056410137743651,-1.0,-1.0,36.0349760055542,-1.0,-1.0,-1.0,-1.0,35.57802391052246,0.4575444757938385,0.4652361424052767,-1.0,-1.0,35.54224896430969,-1.0,-1.0,-1.0,-1.0,35.44423985481262,0.43606898188591003,0.42550334738759243,-1.0,-1.0,35.15199112892151
63628dd54b68c3e97c1f7ca1,fcnn,multi_rec,multi_rec,dtc,cid,10,2,None,5.0,0.5285939574241638,0.6154156775147914,0.537438154220581,0.6366309392284888,55.350462675094604,-1.0,-1.0,-1.0,-1.0,48.828943490982056,0.9982467293739319,0.3627593203455949,-1.0,-1.0,49.25141358375549,-1.0,-1.0,-1.0,-1.0,48.971227169036865,0.6546090245246887,0.2366779367334665,-1.0,-1.0,48.77641797065735
63628dd54b68c3e97c1f7ca2,fcnn,multi_rec,multi_rec,dtc,cid,10,2,PCA,5.0,0.471134752035141,0.3641706020121376,0.4508577585220337,0.3462279662348609,55.4460551738739,-1.0,-1.0,-1.0,-1.0,48.381977796554565,0.5916698575019836,0.5446884063457299,0.5869836211204529,0.5568094631276,48.83528137207031,-1.0,-1.0,-1.0,-1.0,48.512794971466064,-1.0,-1.0,-1.0,-1.0,49.08753561973572
